zip
11207
11101
10016
11201
10019
10022
10314
10036
10013
10001
11203
11385
11234
11208
11236
11434
11226
10002
11220
10467
11235
11233
11355
11212
11206
11354
11377
10018
11213
11211
11230
11368
11373
10017
11432
10306
10011
10003
11215
11217
10029
10461
11216
11218
10458
11238
10457
11221
11375
11210
11223
10035
11214
10472
10065
10466
11229
10451
11222
11372
11435
10027
10469
11420
11219
10468
11204
10462
11205
10454
11422
11413
11419
10463
10305
10010
10460
10025
10304
11225
10023
10312
11378
11209
10012
10453
10014
10456
11418
10301
10452
11374
10459
10128
11232
10024
11237
11417
10021
11361
11433
11231
11367
10032
10033
11691
11358
11102
10009
11412
10465
10455
11357
10473
11365
11421
10034
11224
11106
11369
11379
11228
10475
10031
11423
10028
11103
11416
10309
10303
11364
11370
10310
11414
11249
10007
11105
11429
10474
10037
11356
10030
10302
10026
10075
10038
11415
10470
11428
11411
10040
10308
11362
11427
11436
11004
11104
11426
11366
10471
10004
10039
11239
11694
11363
11693
11692
11360
10006
10005
10464
10307
10020
11001
11697
10280
11040
10044
10069
10119
11005
11430
11109
10282
10000
10048
10281
10178
11359
10279
10111
11695
10803
10123
10153
10103
11242
11251
00083
11371
