datetime,title,crime_type,address
2017-03-10T05:16:00-05:00,Man spots two guys breaking into his Dorchester home via his surveillance camera; now they&#039;re in custody,Illegal gun possession,231 Washington St.
2017-03-06T18:30:00-05:00,Man sought for sexual assault in East Boston,Indecent assault and battery,Brooks Street
2017-03-06T13:55:00-05:00,Guys claiming to have bombs holding up banks,Bank robbery,391 Market St.
2017-01-11T17:18:00-05:00,Woman not attacked while jogging around Chestnut Hill Reservoir: Large tree branch fell on her head,,
