zip,value
02109,0
02111,0
02113,0
02114,0
02115,0
02116,1
02118,0
02119,0
02120,1
02121,1
02122,0
02124,1
02125,1
02126,1
02127,0
02128,1
02129,0
02130,4
02131,0
02132,0
02134,1
02135,1
02136,1
02210,0
02215,1
02199,0
02203,0
02151,0
02110,1
02108,3
