zip,value
02109,5.75
02111,33.33
02113,10.00
02114,8.89
02115,4.23
02116,26.94
02118,7.30
02119,23.78
02120,24.15
02121,17.77
02122,5.41
02124,10.99
02125,9.85
02126,10.57
02127,5.93
02128,3.30
02129,1.48
02130,3.90
02131,3.87
02132,0.44
02134,4.52
02135,2.66
02136,1.31
02210,1.04
02215,6.54
02199,0.00
02151,0.00
02110,27.78
02108,58.82
