zip,value
02109,2.65
02111,2.71
02113,0.00
02114,1.67
02115,2.11
02116,3.39
02118,1.13
02119,1.58
02120,2.63
02121,1.54
02122,0.85
02124,1.05
02125,1.20
02126,1.96
02127,0.94
02128,0.00
02129,0.61
02130,1.13
02131,2.68
02132,1.16
02134,0.47
02135,0.70
02136,0.35
02210,0.00
02215,0.77
02199,0.00
02151,0.00
02110,0.00
02108,7.84
