datetime,title,crime_type,address,zip
2015-01-19T18:55:00-05:00,Downtown bakery robbed at knifepoint,Armed robbery,11 School St.,02203
2015-01-19T09:30:00-05:00,Woman attacked while jogging near Jamaica Pond boathouse,Indecent assault and battery,Jamaicaway and Pond St.,02130
2015-01-17T03:30:00-05:00,Gunfire awakens residents along Mass. Ave. in the South End,Gunfire,600 Massachusetts Ave.,02118
2015-01-16T16:00:00-05:00,JP armed-robbery spree continues; City Feed latest victim,Armed robbery,66A Boylston St.,02130
2015-01-16T02:30:00-05:00,Man shot in Morton Street drive-by,Shooting,Morton St. and W. Selden St.,02126
2015-01-12T12:25:00-05:00,Police: Man arrested before he could rob a Back Bay bank,Attempted bank robbery,Dartmouth St. and Boylston St.,02116
2015-01-12T03:38:00-05:00,Gunfire in Chinatown around corner from where four were shot in August,Gunfire,81 Essex St.,02111
2015-01-11T22:00:00-05:00,"$2 million bail for teen charged with sexual assaults, armed holdups in Fields Corner and on the Red Line",Armed robbery,Dorchester Ave. and Charles St.,02122
2015-01-11T17:00:00-05:00,Another JP store robbed by a guy in sunglasses,Armed robbery,316 Centre St.,02130
2015-01-10T21:00:00-05:00,"Police use beanbag gun to subdue man holding knife to throat after turning gas on in Dorchester home, attacking mother",Assault and battery with a dangerous weapon,383 Geneva Ave.,02122
2015-01-10T16:05:00-05:00,"Victim, witnesses keeping mum on near-fatal stabbing outside Newmarket Square chicken-and-waffle joint",Stabbing,1033 Massachusetts Ave.,02118
2015-01-10T01:57:00-05:00,Three charged with early morning Back Bay mugging,Armed robbery,329 Beacon St.,02116
2015-01-09T17:55:00-05:00,Car&#039;s rear window shot out in Dorchester; driver speeds away,Gunfire,Stonehurst St. and Hamilton St.,02122
2015-01-09T16:00:00-05:00,Police investigate stabbing at Burke High School,Stabbing,60 Washington St.,02121
2015-01-09T12:32:00-05:00,Man sought for failed Ashmont bank robbery,Attempted bank robbery,1906 Dorchester Ave.,02124
2015-01-08T23:10:00-05:00,With friends like these ...,Assault and battery,1 Aspinwall St.,02124
