datetime,title,crime_type,address,zip
2016-08-03T22:40:00-04:00,Woman sexually assaulted at gunpoint in Jamaica Plain,Sexual attack,189 Forest Hills St.,02130
2016-08-03T08:00:00-04:00,Police: Snarling Red Line rider arrested for knocking woman&#039;s phone out of her hands,Assault and battery,Dorchester Ave. and Southampton St.,02127
2016-07-30T22:30:00-04:00,Man shot in Fields Corner,Shooting,Park St. and Geneva Ave.,02124
2016-07-30T22:30:00-04:00,More gunfire in Roxbury,Gunfire,Humboldt Ave. and Martin Luther King Blvd.,02119
2016-07-30T18:20:00-04:00,Shots fired on Dale Street in Roxbury,Gunfire,25 Dale St.,02119
2016-07-30T17:15:00-04:00,Person shot in Dudley Square drive-by,Shooting,St. James Street,02119
2016-07-30T11:30:00-04:00,Armed home invasion in West Roxbury,Armed home invasion,15 Tobin Rd.,02132
2016-07-30T00:35:00-04:00,Police: Young Hyde Park teen was walking around Roxbury with a loaded gun early this morning,Illegal gun possession,144 Ruthven St.,02121
2016-07-29T04:30:00-04:00,Man shot in Dorchester,Shooting,Trull St. and Ware St.,02125
2016-07-28T21:50:00-04:00,"Police: Cop draws gun on man charging him with a knife, doesn&#039;t shoot him",Assault with a dangerous weapon,100 Legends Way,02114
2016-07-28T21:15:00-04:00,Person shot at Blue Hill Avenue and Columbia Road,Shooting,Blue Hill Ave. and Columbia Rd.,02121
2016-07-28T12:00:00-04:00,Resident drops a dime: 16 arrested for alleged brothel at Brighton house,Prostitution,108 Brooks St.,02135
2016-07-27T05:00:00-04:00,Man stabbed in the chest in Allston,Stabbing,1290 Commonwealth Ave.,02134
2016-07-26T23:55:00-04:00,Three shot in Mattapan,Shooting,115 Babson St.,02126
2016-07-26T22:58:00-04:00,Man stabbed in the leg in Fields Corner,Stabbing,274 Adams St.,02122
2016-07-26T21:37:00-04:00,Man sought for threatening someone with a weapon on an Orange Line train,Assault with a dangerous weapon,750 Washington St.,02111
2016-07-25T23:18:00-04:00,Two shot in Dorchester,Shooting,20 Stonehurst St.,02122
2016-07-24T21:30:00-04:00,Shots fired on Hancock Street in Dorchester; car hit,Gunfire,101 Hancock St.,02125
2016-07-24T00:30:00-04:00,"Mob rushes, robs Roslindale gas station",Robbery,Washington St. and South St.,02131
2016-07-23T01:10:00-04:00,Shots fired in Dorchester,Gunfire,41 Payson Ave.,02125
2016-07-22T23:30:00-04:00,Shots fired in Mattapan,Gunfire,26 Evelyn St.,02126
2016-07-22T21:55:00-04:00,Man shot in Dorchester,Shooting,156 Fuller St.,02124
2016-07-22T21:40:00-04:00,Person shot at strip mall on River Street in Mattapan,Shooting,90 River St.,02126
2016-07-21T22:40:00-04:00,Person shot in Dorchester,Shooting,Thetford Ave. and Evans St.,02124
2016-07-21T21:05:00-04:00,Man tased in Dorchester robbery; three arrested,Assault and battery with a dangerous weapon,42 Robinson St.,02122
2016-07-17T22:45:00-04:00,"Man jumped, stabbed in Roxbury",Stabbing,Nazing St. and Maple St.,02121
2016-07-16T18:15:00-04:00,"Man charged with hit and run, possession of LSD-laced Rice Krispy treats on Atlantic Avenue",Illegal drug possession,70 Rowes Wharf,02110
2016-07-16T15:45:00-04:00,Man stabbed on the Common,Stabbing,Tremont St. and Park St.,02108
2016-07-13T21:30:00-04:00,"Police: Guy crashes car in South Boston, tries to ditch loaded gun before first responders arrive",Illegal gun possession,E Street and W. 2 St.,02127
2016-07-12T17:30:00-04:00,Police: Man who ran at officers with a loaded gun after they heard him firing it is arrested in South Boston,Illegal gun possession,Gavin Way and Logan Way,02127
2016-07-11T23:00:00-04:00,Person shot on Monadnock Street in Dorchester,Shooting,Monadnock St.,02125
2016-07-11T23:00:00-04:00,Person shot on Gavin Way in South Boston,Shooting,19 Gavin Way,02127
2016-07-11T05:30:00-04:00,Woman shot in Mattapan; 14-year-old charged,Shooting,563 Norfolk St.,02126
2016-07-10T01:00:00-04:00,Woman reports attack by three men in East Boston park,Sexual attack,Bremen Street and Brook St.,02128
2016-07-09T19:45:00-04:00,Don&#039;t you hate it when you stand up and your gun falls out of your shorts?,Illegal gun possession,Harold St. and Ruthven St.,02121
2016-07-09T00:05:00-04:00,Person shot on Hansborough Street,Shooting,Hansborough St.,02124
2016-07-07T23:36:00-04:00,"Two shot, one dead in Dorchester",Murder,68 Hancock St.,02125
2016-07-05T09:30:00-04:00,South Boston bank robbed,Bank robbery,708 E. Broadway,02127
2016-07-04T15:40:00-04:00,Shots fired in Roxbury,Gunfire,Estabrook Rd. and Shawmut Ave.,02119
2016-07-04T01:24:00-04:00,Woman shot in the South End,Shooting,647 Harrison Ave.,02118
2016-07-03T20:05:00-04:00,Several cars shot up in Dorchester,Gunfire,Hildreth St. and Wildwood St.,02124
2016-07-02T22:15:00-04:00,Man shot in Dorchester,Shooting,Clifton St. and E. Cottage St.,02125
2016-06-30T18:45:00-04:00,Two arrested for gun and drug possession in Dorchester playground; third arrested on warrants,Illegal gun possession,56 Dunbar Ave.,02124
2016-06-29T19:45:00-04:00,Police: Lynn teen on a stolen bike used loaded gun to threaten people in Uphams Corner,Illegal gun possession,590 Dudley St.,02125
2016-06-29T15:00:00-04:00,Man hunted for Dorchester bank robbery,Bank robbery,585 Columbia Rd.,02125
2016-06-28T15:24:00-04:00,Gunfire leads to arrests in Dorchester - after suspects&#039; SUV crashes,Gunfire,Hancock St. and Upham Ave.,02125
2016-06-27T01:00:00-04:00,State Police: Man drives into state worker at Ted Williams work zone while drunk,OUI,Northern Ave. and Channel St.,02210
2016-06-26T03:00:00-04:00,Police: North End man dons bulletproof vest before threatening people with two butcher knives,Assault with a dangerous weapon,17 Cooper St.,02113
2016-06-25T23:20:00-04:00,Two stabbed in Roxbury,Stabbing,69 Burrell St.,02119
2016-06-24T15:25:00-04:00,Man shot to death in Mattapan,Murder,17 Doone Ave.,02126
2016-06-23T23:30:00-04:00,Person stabbed in South Boston,Stabbing,Joseph Agri St.,02127
2016-06-23T05:15:00-04:00,"Man found stabbed in the Fenway, taken away in bad shape",Stabbing,Queensberry St. and Park Drive,02215
2016-06-22T23:00:00-04:00,"While searching for dirt bikers who may have smashed cop&#039;s car window, officers find armed-robbery victim",Armed robbery,Dudley St. and W. Cottage St.,02125
2016-06-21T21:30:00-04:00,Woman shot in Dorchester,Shooting,586 Park St.,02124
2016-06-21T17:00:00-04:00,Firefighters rescue person in Charles River near Mass. Ave. bridge,Manslaughter,Back St. and Fairfield St.,02116
2016-06-21T14:45:00-04:00,Randolph man arrested for illegal gun possession in Dorchester,Illegal gun possession,31 Baird St.,02124
2016-06-20T23:30:00-04:00,"Two shot on Huntington Avenue, Mission Hill",Shooting,Huntington Ave. and Mission St.,02115
2016-06-20T23:25:00-04:00,Man shot in South Boston,Shooting,142 Msgr O&#039;Callaghan Way,02127
2016-06-20T10:05:00-04:00,Visually impaired woman sexually attacked next to the State House,Indecent assault and battery,Beacon St. and Bowdoin St.,02108
2016-06-19T22:30:00-04:00,Man stabbed in the back in East Boston,Stabbing,28 Meridian St.,02128
2016-06-19T00:30:00-04:00,Person shot in Dorchester,Shooting,Ellington St. and Greenwood St.,02121
2016-06-18T23:10:00-04:00,Man fatally shot in the head in Mattapan,Murder,62 Astoria St.,02126
2016-06-15T23:30:00-04:00,Roslindale Burger King held up at gunpoint,Armed robbery,4590 Washington St.,02131
2016-06-15T08:51:00-04:00,Woman found dead in East Boston garage,Murder,54 Princeton St.,02128
2016-06-14T17:00:00-04:00,Person shot in Dorchester,Shooting,1742 Dorchester Ave.,02124
2016-06-14T12:20:00-04:00,Man fatally shot in the head across street from Blue Hill Avenue police station,Murder,1186 Blue Hill Ave.,02126
2016-06-11T19:20:00-04:00,Police looking for guy they say ended an argument at South Station by stabbing his opponent,Stabbing,Atlantic Ave. and Summer St.,02210
2016-06-10T22:40:00-04:00,Person stabbed in East Boston,Stabbing,72 Trenton St.,02128
2016-06-09T08:50:00-04:00,"Brighton High School student arrested at school with a loaded, stolen gun, police say",Illegal gun possession,25 Warren St.,02135
2016-06-08T13:30:00-04:00,"Four shot outside Burke High School, one dead",Murder,46 Washington St.,02121
2016-06-04T23:20:00-04:00,Man shot to death on York Street in Dorchester,Murder,8 York St.,02121
2016-06-03T23:30:00-04:00,Woman shot in Franklin Hill home,Shooting,34 Franklin Hill Ave.,02124
2016-06-03T14:00:00-04:00,"Man tries, fails to hold up West Roxbury bank",Bank robbery,673 VFW Parkway,
2016-06-02T00:40:00-04:00,Two shot in East Boston,Shooting,250 Condor St.,02128
2016-06-01T06:15:00-04:00,Two women groped in Dorchester this morning,Indecent assault and battery,Columbia Rd. and Richfield St.,02125
2016-05-29T22:25:00-04:00,Man shot to death in Dorchester,Murder,131 Devon St.,02121
2016-05-28T23:20:00-04:00,Man shot in the leg in Mattapan,Shooting,Walk Hill St. and Fottler Rd.,02126
2016-05-27T20:45:00-04:00,Band manager charged with raping woman at House of Blues,Rape,15 Lansdowne St.,02215
2016-05-27T14:00:00-04:00,Man sought for Roslindale bank robbery,Bank robbery,29 Corinth St.,02131
2016-05-27T12:40:00-04:00,Woman slashed in Roxbury,Stabbing,338 Warren St.,02119
2016-05-27T09:40:00-04:00,Shots fired in Roxbury,Gunfire,Akron St. and Regent St.,02119
2016-05-26T20:00:00-04:00,Man shot in Mattapan Square,Shooting,Blue Hill Ave. and Rexford St.,02126
2016-05-26T16:00:00-04:00,Shots fired in Bromley-Heath,Gunfire,960 Parker St.,02130
2016-05-25T23:20:00-04:00,Woman shot in LoPresti Park in East Boston,Shooting,33 Sumner St.,02125
2016-05-25T00:10:00-04:00,Woman sexually attacked in Mattapan,Rape,Rosewood St. and Cummins Highway,02126
2016-05-24T13:00:00-04:00,"SpongeBob CrackPants: Two arrested on drug charges after Mattapan Square struggle, police say",Illegal drug possession,1641 Blue Hill Ave.,02126
2016-05-22T06:45:00-04:00,Two stabbed in Dorchester,Stabbing,Johnson Terrace,02124
2016-05-21T22:45:00-04:00,Person shot on Broad Street downtown,Shooting,101 Broad St.,02110
2016-05-21T11:38:00-04:00,"Police: When guy&#039;s friends picked him up in their car in the South End, they didn&#039;t realize he&#039;d just robbed a bank",Bank robbery,1320 Washington St.,02118
2016-05-20T07:00:00-04:00,"Police came for the gun and ammo, stayed for the dirt bikes",Illegal gun possession,7 Speedwell St.,02122
2016-05-19T21:15:00-04:00,"Another person shot in Codman Square, this time fatally",Murder,87 Southern Ave.,02124
2016-05-19T17:55:00-04:00,Police: Hyde Park teen nabbed with a gun near scene of recent double shooting in the South End,Illegal gun possession,W. Newton St. and San Juan St.,02118
2016-05-19T17:10:00-04:00,Two shot in Grove Hall,Shooting,469 Blue Hill Ave.,02121
2016-05-17T22:15:00-04:00,Two shot on Shawmut at West Newton in the South End,Shooting,Shawmut Ave. and W. Newton St.,02118
2016-05-16T14:40:00-04:00,Gunfire erupts at Centre and Highland in Roxbury,Gunfire,Centre St. and Highland Ave.,02119
2016-05-15T23:15:00-04:00,Woman shot in the arm near Codman Square,Shooting,3 Walton St.,02124
2016-05-15T14:40:00-04:00,"Man charged with punching out bus window in fit of road rage, showering driver with glass shards",Assault and battery,240 Western Ave.,02134
2016-05-14T23:55:00-04:00,Shots fired into Jamaica Plain building,Gunfire,12 Metcalf Ct.,02130
2016-05-14T22:50:00-04:00,Person shot in the leg at Humboldt and Seaver in Roxbury,Shooting,Humboldt Ave. and Seaver St.,02119
2016-05-14T21:57:00-04:00,"Person shot in the leg on Cabot Street, Roxbury",Shooting,185 Cabot St.,02120
2016-05-14T20:20:00-04:00,"Person shot in arm at Columbia and Quincy, Dorchester",Shooting,387 Columbia Rd.,02125
2016-05-13T18:40:00-04:00,Woman leaving church grazed by bullet in Codman Square,Shooting,651 Washington St.,02135
2016-05-12T22:20:00-04:00,Shots fired in Codman Square,Gunfire,310 Talbot Ave.,02124
2016-05-12T18:05:00-04:00,Roslindale market robbed at gunpoint,Armed robbery,229 Florence St.,02131
2016-05-12T07:15:00-04:00,Mother in critical condition after attack while walking daughter to school in Roxbury,Assault and battery with a dangerous weapon,Waumbeck St.,02121
2016-05-11T18:30:00-04:00,Dorchester foot chase involving man with gun ends with officers using pepper spray to disperse crowd,Illegal gun possession,14 Ronan St.,02125
2016-05-11T14:00:00-04:00,"Couple robs Newbury Street store together, then takes turns robbing the same Downtown Crossing bank",Bank robbery,24 Winter St.,02108
2016-05-10T21:20:00-04:00,Two charged with armed robbery of Codman Square market,Armed robbery,542 Washington St.,02111
2016-05-09T15:50:00-04:00,Man shot in the leg in Roxbury,Shooting,Georgia St. and Hartwell St.,02121
2016-05-08T16:55:00-04:00,"Person stabbed, seriously injured in Mattapan",Stabbing,551 Norfolk St.,02126
2016-05-07T02:00:00-04:00,Dorchester stabbing may have been revenge for rape several years earlier,Stabbing,70 Talbot Ave.,02124
2016-05-07T00:25:00-04:00,Gunfire at East Cottage and Leyland streets,Gunfire,E. Cottage St. and Leyland St.,02125
2016-05-06T23:55:00-04:00,Several shots fired into car off Morton Street in Dorchester,Gunfire,Wildwood St. and Middleton St.,02124
2016-05-06T22:53:00-04:00,"Man threatening to shoot someone in the South End arrested before he could, police say",Illegal gun possession,100 W. Dedham St.,02118
2016-05-05T17:00:00-04:00,Man sought for Roslindale bank robbery,Bank robbery,777 South St.,02131
2016-05-05T14:00:00-04:00,Back Bay bank held up,Bank robbery,61 Arlington St.,02116
2016-05-05T07:20:00-04:00,Woman stabbed in Blue Hill Avenue apartment building,Stabbing,484 Blue Hill Ave.,02121
2016-05-03T21:50:00-04:00,Two shot in Ashmont,Shooting,Bailey St. and Dorchester Ave.,02124
2016-05-02T15:00:00-04:00,Guys in hoodies rob Copley Square bank,Bank robbery,533 Boylston St.,02115
2016-05-01T22:55:00-04:00,Three masked men with guns burst into apartment just up street from C-11 police station,Armed home invasion,10 Gibson St.,02122
2016-05-01T21:30:00-04:00,South Boston market held up at knifepoint,Armed robbery,473 W. Broadway,02127
2016-05-01T14:20:00-04:00,Person shot in Uphams Corner,Shooting,726 Dudley St.,02125
2016-05-01T01:05:00-04:00,Man remains in induced coma three weeks after brutal attack at Fenway bar,Assault and battery with a dangerous weapon,1270 Boylston St.,02215
2016-04-30T11:30:00-04:00,Police charge Blue Hill Avenue market was selling more than just milk and bread,Illegal drug possession,734 Blue Hill Ave.,02121
2016-04-30T10:30:00-04:00,"Man disappointed with refrigerator delivery gets out rifle and orders delivery guys to leave, police say",Assault with a dangerous weapon,2 Folsom Ave.,02120
2016-04-27T23:00:00-04:00,Person shows up shot at local ER; may have happened on Walnut Park near Egleston Square,Shooting,30 Walnut Park,02119
2016-04-27T20:00:00-04:00,Man already charged with attacking woman on the T now charged with attacking teen at T stop,Indecent assault and battery,Washington St. and Winter St.,02108
2016-04-26T22:25:00-04:00,Knifepoint robbery in the South End,Armed robbery,145 W. Concord St.,02118
2016-04-26T22:00:00-04:00,"Pizza guy robbed at knifepoint, his car stolen in Mattapan",Armed robbery,20 Almont St.,02126
2016-04-26T20:50:00-04:00,Car taken at gunpoint in Brighton,Carjacking,N. Beacon St. and Market St.,02135
2016-04-26T20:00:00-04:00,Man stabbed on Burrell Street in Roxbury,Shooting,19 Burrell St.,02119
2016-04-25T12:00:00-04:00,Two BPD officers injured in Copley Square library; man in custody,Assault and battery,Dartmouth St. and Boylston St,02116
2016-04-24T18:45:00-04:00,"Police: Man spits at bus driver, tries to fend off cops with a shopping cart",Assault and battery,Warren St. and Moreland St.,02119
2016-04-24T16:50:00-04:00,Roxbury shoe store held up at gunpoint,Armed robbery,2189 Washington St.,02119
2016-04-24T12:04:00-04:00,Gunfire near Madison Park basketball courts,Gunfire,Kerr Way and Ruggles St.,02120
2016-04-22T23:15:00-04:00,Man shot in Archdale project in Roslindale,Shooting,95 Archdale Rd.,02131
2016-04-22T15:50:00-04:00,Jamaica Plain bank held up,Bank robbery,515 Centre St.,02130
2016-04-21T21:30:00-04:00,Man shot in Charlestown,Shooting,10 McNulty Ct.,02129
2016-04-21T14:05:00-04:00,Hyde Park bank held up,Bank robbery,1065 Truman Parkway,02136
2016-04-20T17:25:00-04:00,Shots exchanged near Madison Park,Gunfire,DeWitt Dr. and Estabrook Rd.,02120
2016-04-20T11:15:00-04:00,One shot near Egleston Square,Shooting,42 Walnut Park,02119
2016-04-20T11:00:00-04:00,"Woman, teen charged with armed home invasion in Dorchester",Armed home invasion,Trescott St.,02125
2016-04-19T22:15:00-04:00,Shots fired in Roxbury,Gunfire,33 Bethune Way,02119
2016-04-18T21:10:00-04:00,Woman stabbed in the arm on MLK Boulevard,Stabbing,330 Martin Luther King Blvd.,02119
2016-04-17T23:45:00-04:00,Food delivery guy robbed at knifepoint in Mattapan,Armed robbery,70 Tennis Rd.,02126
2016-04-17T16:48:00-04:00,Police hunt woman they say pushed toddler to the ground after cursing at her in the Public Garden,Assault and battery,Charles St. and Beacon St.,02116
2016-04-17T11:30:00-04:00,Dorchester man who keeps getting arrested on gun charges gets arrested on gun charges,Illegal gun possession,6 Castlegate Rd.,02121
2016-04-17T03:00:00-04:00,Quincy man dies while trying to break up fight in front of Dorchester tavern,Murder,780 Adams St.,02124
2016-04-15T21:50:00-04:00,Man shot in Mattapan,Shooting,River St. and Rector Rd.,02126
2016-04-14T15:36:00-04:00,Three arrested after gunfire on Ashmont Street,Illegal gun possession,11 Ashmont St.,02124
2016-04-11T15:00:00-04:00,West Roxbury bank held up,Bank robbery,1905 Centre St.,02132
2016-04-09T10:45:00-04:00,Blue Hill Avenue market held up at gunpoint,Armed robbery,696 Blue Hill Ave.,02121
2016-04-06T08:30:00-04:00,Student stabbed at West Roxbury high school; another student charged,Stabbing,1205 VFW Parkway,02132
2016-04-05T08:30:00-04:00,"Dorchester driver charged with hitting three cars, knocking down woman and running over her foot",Leaving the scene of a personal-injury accident,Ellington St. and Blue Hill Ave.,02121
2016-04-02T22:30:00-04:00,Drive-by shooters miss woman but hit her car in Newmarket Square,Gunfire,870 Massachusetts Ave.,02118
2016-04-02T22:00:00-04:00,Armed robbery in Chinatown by man in a skull mask,Armed robbery,Washington St. and Beach St.,02116
2016-04-01T11:25:00-04:00,"Man robs Grove Hall bank, but may not have gotten far - suspect grabbed after short foot chase",Bank robbery,648 Warren St.,02121
2016-03-31T21:45:00-04:00,Man stomped outside Mission Hill market,Assault and battery with a dangerous weapon,680 Parker St.,02120
2016-03-31T21:10:00-04:00,Two stabbed in the Leather District,Stabbing,Beach St. and Lincoln St.,02111
2016-03-31T18:15:00-04:00,Shots fired in Roxbury,Gunfire,Blue Hill Ave. and Dudley St.,02119
2016-03-31T17:30:00-04:00,DA: Serial drug dealer arrested because somebody thought it odd a guy would be climbing scaffolding while holding a gun,Illegal gun possession,692 Columbia Rd.,02125
2016-03-31T12:45:00-04:00,Citizens Bank downtown robbed,Bank robbery,73 Tremont St.,02108
2016-03-31T09:35:00-04:00,Man tries to rob Kenmore Square bank; fails,Bank robbery,560 Commonwealth Ave.,02215
2016-03-30T12:00:00-04:00,Noon gunfire on Roxbury street,Gunfire,Clarence St. and Dudley St.,02119
2016-03-27T21:30:00-04:00,Calm after Lenox Street sweep didn&#039;t last long: Multiple shots fired near Ramsay Park,Gunfire,Shawmut Ave. and Kendal St.,02118
2016-03-27T02:10:00-04:00,"One man shot to death, another stabbed in Mattapan incident",Murder,227 River St.,02126
2016-03-26T03:41:00-04:00,Gunfire erupts overnight in Roslindale,Gunfire,44 Kittredge St.,02131
2016-03-26T00:30:00-04:00,Man attacks woman at Ashmont and Florida streets in Dorchester,Indecent assault and battery,Ashmont St. and Florida St.,02124
2016-03-24T13:00:00-04:00,Man in car shot in hand,Shooting,121 Devon St.,02121
2016-03-23T15:30:00-04:00,Man arrested after midday gunfire in Roxbury,Gunfire,47 Nazing St,02121
2016-03-22T23:35:00-04:00,Two shot in Egleston Square,Shooting,127 School St.,02119
2016-03-22T22:30:00-04:00,Man shot to death in East Boston,Murder,7 Wordsworth St.,02128
2016-03-22T08:55:00-04:00,"Police: South Boston bank robber tries to make getaway in cab, fails",Bank robbery,441 W. Broadway,02127
2016-03-21T21:35:00-04:00,Pizza delivery guy held up at gunpoint in Roslindale,Armed robbery,115 Brookway Rd.,02131
2016-03-21T13:15:00-04:00,Police charge man as Green Line masturbator,Open and gross behavior,Arlington St. and Boylston St.,02116
2016-03-21T03:00:00-04:00,"Two shot, one dead in Roxbury",Murder,66 Humboldt Ave.,02119
2016-03-21T03:00:00-04:00,Women sexually attacked after getting into vehicles they thought were from a ride-share company,Sexual attack,2 Center Plaza,02108
2016-03-20T15:30:00-04:00,DA: Man was trying to sell drugs to passengers on a T bus after the parade when his loaded gun fell out of his pants,Illegal gun possession,Summer St. and E. 1 St.,02127
2016-03-17T17:25:00-04:00,"Man shot, car hit in hail of gunfire on Blue Hill Avenue near Floyd Street",Shooting,998 Blue Hill Ave.,02124
2016-03-17T15:20:00-04:00,Police hunt man for knifepoint robbery at Sullivan Square T stop,Armed robbery,1 Cambridge St.,02114
2016-03-14T10:24:00-04:00,"Woman indecently attacked on Jamaica Plain street this morning, police say",Indecent assault and battery,127 Chestnut Ave.,02130
2016-03-11T16:45:00-05:00,Multiple shots fired on a Dorchester street,Gunfire,Trull St. and Glen St.,02125
2016-03-10T20:42:00-05:00,Two teens arrested for armed robbery in East Boston; third suspect at large,Armed robbery,44 Brooks St.,02135
2016-03-09T19:20:00-05:00,Roxbury man charged with shooting gun in the South End,Gunfire,72 W. Newton St.,02118
2016-03-09T18:00:00-05:00,Gunfire erupts in Mattapan,Gunfire,W. Selden St. and Morton St.,02126
2016-03-09T17:20:00-05:00,Gunfire erupts in Dorchester,Gunfire,Ellington St. and Erie St.,02121
2016-03-05T21:20:00-05:00,Person robbed at gunpoint by two kids in the Fenway,Armed robbery,24 Westland Ave.,02115
2016-03-04T14:50:00-05:00,Teenager stabbed at Stony Brook T stop,Stabbing,180 Lamartine St.,02130
2016-03-04T08:44:00-05:00,Mole man robs East Boston Savings Bank in South Boston,Bank robbery,708 E. Broadway,02127
2016-03-03T01:45:00-05:00,Man who had a murder charge dismissed is arrested on gun charges,Illegal gun possession,68 Norfolk St.,02124
2016-03-01T15:15:00-05:00,Dorchester teens face major time for attacking mailman,Assault and battery,Cushing Ave. and Windermere Rd.,02125
2016-02-29T02:13:00-05:00,Shots fired in the Fenway,Gunfire,St. Botolph St. and Gainsborough St.,02115
2016-02-27T16:30:00-05:00,Two shots fired into car in Roslindale,Gunfire,30 Sherwood St.,02131
2016-02-27T12:58:00-05:00,"Gun-toting road rager foiled in getaway when his moped stalls, police say",Assault with a dangerous weapon,Massachusetts Ave. and Tremont St.,02118
2016-02-27T12:50:00-05:00,Police say Dorchester teen was armed with both a loaded gun and a box cutter,Illegal gun possession,Talbott Ave. and Westcott St.,02124
2016-02-27T09:26:00-05:00,Man in black holds up South Boston bank,Bank robbery,430 W. Broadway,02127
2016-02-27T01:56:00-05:00,Group that brought a length of pipe to a Waterfront gun fight not interested in helping police find their attackers,Assault with a dangerous weapon,Marina Park Dr.,02210
2016-02-22T23:00:00-05:00,Man stabbed in the arm in Dorchester,Stabbing,41 Kingsdale St.,02124
2016-02-21T16:37:00-05:00,Teen stabbed to death in Dorchester,Murder,203 Columbia Rd.,02121
2016-02-20T20:00:00-05:00,A metal detector might have come in handy at a Dorchester get-together,Illegal gun possession,8 Theodore St.,02124
2016-02-20T11:50:00-05:00,Two face charges for loaded gun found in baby seat in Dorchester,Illegal gun possession,193 Norfolk St.,02124
2016-02-20T03:30:00-05:00,Person shot in the chest in Dorchester,Shooting,Wales St. and Kingsdale St.,02124
2016-02-18T17:30:00-05:00,Barricaded man forces shutdown of major Roslindale intersection at rush hour,Barricaded person,American Legion Highway and Stella Road,02131
2016-02-18T00:11:00-05:00,"Police: Dorchester 15-year-old packing three guns fires on group of people, misses",Illegal gun possession,30 Bailey St.,02124
2016-02-15T18:00:00-05:00,Several hundred bags of heroin and cocaine and ammunition seized in South Boston raids,Illegal drug possession,433 Old Colony Ave.,02127
2016-02-13T00:05:00-05:00,A girl gets bleach thrown in her face; now Mattapan roller rink is in hot water,Assault and battery with a dangerous weapon,Rhoades St. and Blue Hill Ave.,02124
2016-02-12T10:30:00-05:00,"Police: Gun battle inside Dorchester home followed by confrontation with police; one dead, two injured",Shooting,107 Devon St.,02121
2016-02-10T18:00:00-05:00,Dorchester market robbed at gunpoint; suspects arrested after standoff at nearby apartment,Armed robbery,Savin Hill Ave. and Pleasant St.,02125
2016-02-10T16:45:00-05:00,Two robbed at gun- and knifepoint in Dorchester schoolyard,Armed robbery,270 Columbia Rd.,02121
2016-02-10T15:00:00-05:00,Man missing teeth wanted for knifepoint holdups downtown and in Chinatown,Armed robbery,Washington St. and Boylston St.,
2016-02-07T21:10:00-05:00,Two robbed of phone at gunpoint outside Forest Hills T stop,Armed robbery,Hyde Park Ave. and Tower Rd.,02130
2016-02-06T23:13:00-05:00,"Police: Guy smashes bottle across man&#039;s head at one bar, calmly walks down street to another bar",Assault and battery with a dangerous weapon,658 E. Broadway,02127
2016-02-06T20:40:00-05:00,"Police: East Boston drug dealer swallows some of his product, tries to pull out switchblade when officers show up",Illegal drug possession,Liverpool St. and Maverick St.,02128
2016-02-05T01:00:00-05:00,Man stabbed on Vassar Street in Dorchester,Stabbing,Vassar St.,02121
2016-02-04T22:45:00-05:00,"Fields Corner battle leaves man stabbed, two others shot",Shooting,500 Geneva Ave.,02122
2016-02-04T05:45:00-05:00,Man shot to death in Roxbury,Murder,55 Brookledge Rd.,02121
2016-02-03T16:15:00-05:00,Centre Street in Jackson Square shut as police investigate gunfire,Shooting,Centre St. and Wise St.,02130
2016-02-02T10:45:00-05:00,Dog shot and killed on Annunciation Road,Gunfire,58 Annunciation Rd.,02120
2016-02-01T01:40:00-05:00,"Two pedestrians hit in Chinatown, one dragged three miles to Dorchester",Hit and run,Kneeland St. and Harrison Ave.,02111
2016-01-31T21:45:00-05:00,Roxbury toddler rushed to hospital after trauma; homicide unit brought in just in case,Murder,23 Alpine St.,02119
2016-01-31T21:05:00-05:00,Shots fired in Egleston Square,Gunfire,Washington St. and Walnut Park,02119
2016-01-30T00:15:00-05:00,Shots fired in Dorchester,Gunfire,29 Armandine St.,02124
2016-01-28T23:40:00-05:00,Man robbed at knifepoint in Charlestown,Armed robbery,50 Medford St.,02129
2016-01-28T16:03:00-05:00,"Police seize more drugs, sawed off shotgun in Roslindale",Illegal gun possession,127 Brown Ave.,02131
2016-01-28T15:00:00-05:00,"Resident of Roslindale apartment building for the elderly and disabled charged with gun, heroin possession",Illegal gun possession,1 Cliffmont St.,02131
2016-01-28T12:51:00-05:00,Man shot at twice in Roslindale robbery attempt,Armed robbery,950 American Legion Highway,02136
2016-01-27T11:59:00-05:00,"Teen gets into English High with a gun, police say",Illegal gun possession,144 McBride St.,02130
2016-01-27T01:40:00-05:00,Man shot and killed in Dorchester,Murder,Washington St. and Dunbar Ave.,02124
2016-01-26T22:28:00-05:00,Gunfire erupts in the South End,Gunfire,Washington St. and Mystic St.,02118
2016-01-25T22:20:00-05:00,"Angry Florida man with a gun turns Back Bay, cab in the South End into his own personal shooting ranges, police say",Gunfire,Arlington St. and Newbury St.,02116
2016-01-25T14:40:00-05:00,Person shot in the stomach in argument over Dorchester parking space,Shooting,69 Nightingale St.,02124
2016-01-24T22:09:00-05:00,Roxbury market held up at gunpoint,Armed robbery,394 Warren St.,02119
2016-01-24T01:00:00-05:00,"Ten arrested, more sought for vicious beating at Brighton Center bar that sent man to the hospital",Assault and battery with a dangerous weapon,304 Washington St.,02135
2016-01-22T07:00:00-05:00,"Police say Roxbury man points guns at neighbor, then retreats to his apartment and barricades himself in",Assault with a dangerous weapon,79 Hutchings St.,02121
