zip,value
02109,0.00
02111,1.35
02113,0.00
02114,1.67
02115,0.00
02116,0.48
02118,1.51
02119,5.52
02120,3.29
02121,1.15
02122,1.28
02124,3.56
02125,1.80
02126,2.35
02127,0.63
02128,0.00
02129,0.00
02130,0.85
02131,1.01
02132,0.00
02134,0.00
02135,0.23
02136,0.00
02210,0.00
02215,0.00
02199,0.00
02151,0.00
02110,0.00
02108,0.00
