zip,value
02109,17.24
02111,33.33
02113,10.00
02114,13.33
02115,12.69
02116,36.45
02118,10.95
02119,43.18
02120,33.82
02121,24.64
02122,8.85
02124,20.65
02125,17.35
02126,14.89
02127,10.87
02128,3.92
02129,3.70
02130,5.40
02131,5.03
02132,1.32
02134,4.52
02135,4.17
02136,1.96
02210,2.07
02215,5.23
02199,0.00
02151,0.00
02110,33.33
02108,95.59
