zip,value
02109,0.00
02111,0.00
02113,0.00
02114,0.00
02115,0.00
02116,0.00
02118,0.00
02119,0.63
02120,0.00
02121,0.57
02122,0.00
02124,0.00
02125,0.00
02126,0.00
02127,0.00
02128,0.00
02129,0.00
02130,0.00
02131,0.00
02132,0.00
02134,0.00
02135,0.00
02136,0.00
02210,0.00
02215,0.00
02199,0.00
02203,0.00
02151,0.00
02110,0.00
02108,0.00
