zip,value
75217,5202
75243,4523
75228,4474
75216,4462
75220,4020
75211,3528
75227,3369
75231,3058
75204,2885
75215,2745
75241,2732
75237,2447
75206,2424
75229,2395
75224,2187
75240,2141
75208,1993
75287,1938
75201,1860
75238,1824
75212,1763
75203,1631
75219,1613
75235,1608
75232,1600
75214,1342
75218,1268
75210,1155
75247,1121
75254,1065
75223,1065
75202,1036
75253,1031
75226,1016
75207,989
75248,973
75236,952
75233,868
75225,808
75230,806
75209,744
75252,718
75249,540
75251,514
75244,478
75234,317
75205,288
75246,253
75051,35
75019,27
75116,27
75134,22
75088,7
75149,5
75043,5
75080,4
75042,4
75180,2
75159,2
75081,2
75062,2
75052,2
75041,1
76018,1
75061,1
75126,1
75150,1
75006,1
