zip,value
75217,200.076923077
75243,502.555555556
75216,343.230769231
75228,372.833333333
75220,309.230769231
75211,207.529411765
75227,280.75
75231,611.6
75204,961.666666667
75215,305.0
75241,97.5714285714
75237,349.571428571
75206,606.0
75229,199.583333333
75224,364.5
75240,535.25
75287,323.0
75208,332.166666667
75238,260.571428571
75212,146.916666667
75201,1860.0
75232,200.0
75219,806.5
75235,229.714285714
75203,407.75
75214,167.75
75218,158.5
75247,186.833333333
75210,231.0
75202,1036.0
75254,355.0
75223,355.0
75253,60.6470588235
75207,197.8
75248,121.625
75236,79.3333333333
75226,1016.0
75233,217.0
75230,115.142857143
75225,161.6
75209,186.0
75252,143.6
75249,90.0
75251,514.0
75244,95.6
75234,28.8181818182
75205,72.0
75246,inf
75051,2.33333333333
75019,1.5
75116,5.4
75134,1.83333333333
75088,0.538461538462
75042,0.5
75149,0.294117647059
75150,0.0833333333333
75043,0.263157894737
75159,0.0307692307692
75080,0.4
75062,0.181818181818
75052,0.0740740740741
75006,0.0588235294118
75180,0.25
75081,0.222222222222
75126,0.0121951219512
75041,0.125
75061,0.0833333333333
76018,0.125
