zip,value
75217,1366.34131766
75243,1685.91849258
75216,1827.14100696
75228,1346.33589277
75220,1932.6346948
75211,1024.93642851
75227,1297.49768304
75231,1694.10558135
75204,2220.02359298
75215,3802.56690333
75241,1958.54577699
75237,2939.59417578
75206,1356.21275657
75229,1529.56827468
75224,1311.04189928
75240,1765.72275272
75287,837.890784426
75208,1333.06817805
75238,1222.32063773
75212,1456.35749879
75201,3774.04612605
75232,1221.32347814
75219,1505.6047731
75235,1887.4075799
75203,2017.68335348
75214,858.270106222
75218,1127.62520194
75247,50747.8632479
75210,3062.01550388
75202,13199.2797119
75254,918.591149529
75223,1487.77514878
75253,1121.40921409
75207,2078.15091211
75248,590.208114987
75236,1193.80525425
75226,5362.23616657
75233,1283.91369366
75230,619.662879632
75225,793.605207735
75209,1193.14436388
75252,583.941605839
75249,805.354071637
75251,4290.00429
75244,730.438715513
75234,216.017225811
75205,238.931529422
75246,1862.81588448
75051,22.1458571974
75019,15.2588837739
75116,28.4711983324
75134,23.6733083448
75088,10.5212042732
75042,3.6957841662
75149,2.31873718006
75089,2.97510826088
75150,1.53243657415
75040,1.34666532
75043,1.54921334389
75159,3.81700201756
75080,1.81780999341
75062,1.34719446752
75052,0.674187603937
75006,0.862738331464
75001,3.22216851941
75181,0.771962328238
75115,0.20459520838
75180,1.73678954453
75081,1.17109731819
75074,0.67231410515
75007,0.387416705408
75060,0.434971726838
75126,0.598874116661
75041,0.325732899023
75032,0.357321517902
75154,0.27746177964
75048,0.491932310114
75141,1.86081131373
75137,0.530194581411
75082,0.47209895194
75050,0.243658780244
75061,0.187118745556
75087,0.355302895719
76018,0.371222807929
