zip,value
75217,13.2307692308
75243,35.7777777778
75216,25.7692307692
75228,29.5
75220,26.8461538462
75211,16.8823529412
75227,22.0
75231,40.8
75204,56.6666666667
75215,25.7777777778
75241,7.75
75237,30.7142857143
75206,36.0
75229,18.4166666667
75224,25.0
75240,40.0
75287,26.0
75208,25.5
75238,22.7142857143
75212,11.3333333333
75201,118.0
75232,14.875
75219,60.5
75235,18.4285714286
75203,27.5
75214,12.375
75218,9.75
75247,15.1666666667
75210,18.4
75202,69.0
75254,35.0
75223,24.6666666667
75253,4.17647058824
75207,13.6
75248,12.875
75236,7.08333333333
75226,83.0
75233,20.75
75230,9.0
75225,11.8
75209,12.25
75252,11.4
75249,8.0
75251,35.0
75244,4.2
75234,2.0
75205,6.5
75246,inf
75051,0.266666666667
75019,0.111111111111
75116,0.8
75088,0.0769230769231
75006,0.0588235294118
75081,0.222222222222
75041,0.125
