zip,value
75217,647.627110204
75243,816.337580767
75216,902.946414117
75228,672.266382173
75220,959.633334129
75211,482.323025183
75227,612.222646241
75231,825.326568067
75204,1097.83477301
75215,1873.97596942
75241,1009.3844676
75237,1430.91047307
75206,668.72655043
75229,758.607582908
75224,642.592701416
75240,881.215014817
75287,395.47792017
75208,660.568095191
75238,598.366302529
75212,708.48738145
75201,1976.83069402
75232,557.841154731
75219,729.072500452
75235,936.135530069
75203,1037.46581006
75214,407.283763278
75218,585.275790445
75247,23952.991453
75210,1543.70489174
75202,6218.48739496
75254,458.005418656
75223,763.605076361
75253,558.807588076
75207,1025.08291874
75248,291.360982183
75236,596.902627124
75226,2897.88933257
75233,618.101545254
75230,299.250018564
75225,386.750909439
75209,544.935179082
75252,297.777040478
75249,403.798698871
75251,2205.06220506
75244,360.319614051
75234,110.092380357
75205,124.886171458
75246,913.357400722
75051,8.90925289551
75019,6.98287901516
75116,13.7271849103
75134,10.8502663247
75088,2.83263191972
75042,1.0559383332
75149,0.89182199233
75150,0.170270730461
75043,0.860674079939
75159,1.09057200502
75080,0.908904996705
75062,0.449064822507
75052,0.224729201312
75006,0.215684582866
75180,0.868394772263
75081,0.585548659094
75126,0.29943705833
75041,0.325732899023
75061,0.187118745556
76018,0.371222807929
