zip,sqmiles
02109,0.174
02111,0.27
02113,0.1
02114,0.45
02115,0.709
02116,0.631
02118,1.096
02119,1.598
02120,0.621
02121,1.745
02122,2.035
02124,3.003
02125,2.132
02126,2.082
02127,2.023
02128,4.851
02129,1.352
02130,3.334
02131,2.587
02132,4.561
02134,1.326
02135,2.635
02136,4.59
02210,0.965
02215,0.765
02199,0.057
02203,0.032
02151,5.862
02110,0.180
02108,0.136
