zip,value
02109,1
02111,9
02113,1
02114,5
02115,8
02116,24
02118,15
02119,49
02120,20
02121,44
02122,13
02124,62
02125,34
02126,31
02127,23
02128,15
02129,2
02130,19
02131,17
02132,6
02134,6
02135,10
02136,7
02210,3
02215,6
02199,0
02203,0
02151,0
02110,6
02108,11
