zip,value
02109,5.75
02111,33.33
02113,10.00
02114,11.11
02115,11.28
02116,38.03
02118,13.69
02119,30.66
02120,32.21
02121,25.21
02122,6.39
02124,20.65
02125,15.95
02126,14.89
02127,11.37
02128,3.09
02129,1.48
02130,5.70
02131,6.57
02132,1.32
02134,4.52
02135,3.80
02136,1.53
02210,3.11
02215,7.84
02199,0.00
02203,0.00
02151,0.00
02110,33.33
02108,80.88
