datetime,title,crime_type,address
2017-02-04T23:15:00-05:00,Man stabbed in the stomach in Forest Hills T station,Stabbing,New Washington St.
2017-02-04T00:15:00-05:00,Woman shot in the wrist near Codman Square,Shooting,49 Rosedale St.
2017-01-11T17:18:00-05:00,Woman not attacked while jogging around Chestnut Hill Reservoir: Large tree branch fell on her head,,
